method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
no_storage_renewable_first,rolling_block,observed,504,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-10103136.0450565927,0.0000000000,-64.9649995834,43.1722404601,0.7942570871,27651.8474954171,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,672,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-10090474.6987696625,0.0000000000,-66.3900004166,42.8969891292,0.7984378348,27089.9550008333,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,840,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-10069744.5860504601,0.0000000000,-67.8024995834,43.2672202935,0.7985832217,27070.4150004166,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1008,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9904032.1918566972,0.0000000000,-57.3450000000,42.3413135502,0.7957624907,27449.5212483335,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1176,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9740126.3351396397,0.0000000000,-67.7325000000,42.0066668076,0.7931800967,27796.5950012499,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1344,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9659243.9429303147,0.0000000000,-61.5525004166,41.6696072574,0.7948867095,27567.2262487501,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1512,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9527617.8999229819,0.0000000000,-59.3525000000,40.9310833906,0.7950235863,27548.8300029164,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1680,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9481057.0470755119,0.0000000000,-74.2275004166,41.2657928208,0.7967274833,27319.8262454171,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1848,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9542285.3607953321,0.0000000000,-74.3025004166,39.5799769087,0.7947446243,27586.3224987501,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2016,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9567381.4558900632,0.0000000000,-69.2825004166,42.6779962287,0.7974803107,27218.6462450005,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
